Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Northern Colorado,County,Op Status,Affiliate,Features,Links,Notes,Web links,Coordination,Last update,Sponsor,Downlink Tone,Coverage,Nets,Feed,Grid,EchoLink,YSF Digital Enabled,DG-ID,Mixed-Mode,D-STAR Enabled,Node,Sources,IRLP,AllStar,Commands,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Talkgroup Network,Worldwide English,North America,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,Denver Regional,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,English,Southern Colorado,Local Network,On-air,Location Photo,Wyoming,WyLOCAL
448.2,-5,CC7,W0FT,"Fort Morgan, Fort Morgan EOC",CO,OPEN,,0,NW,yes,448.2,443.2,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Morgan,On-Air,NEAHR,Mixed Mode,Full-time to the  Colorado TRBO System .,"See the website for more info on Time Slot, Talk Group and Color Code Programming.",Rocky Mountain Ham Radio,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.175,-5,CC7,W0FT,Akron,CO,OPEN,,31.5,ESE,yes,448.175,443.175,,yes,7,,,,,Morgan,On-Air,Rocky Mountain Ham Radio,,,,http://www.rmham.org/,CCARC,yes,W0FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,88.5,KB0VJJ,Akron,CO,OPEN,,31.5,ESE,yes,145.4,144.8,88.5,,,,,,,Washington,On-Air,,,Full-time to the  Colorado Connection System .,Part of the Colorado Connection system of repeaters,,CCARC,yes,Colorado Connection,123,Northeastern plains of Colorado.,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,89.6,WSW,yes,145.31,144.71,88.5,,,,,,,Gilpin,On-Air,,10,Full-time to the  Colorado Connection System .,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",,CCARC,yes,Colorado Connection,123,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.","Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,106.8,WSW,yes,147.285,147.885,88.5,,,,,,,Grand,On-Air,,,Full-time to the  Colorado Connection System .,,,CCARC,yes,Colorado Connection,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,118.4,SSW,yes,145.13,144.53,88.5,,,,,,,El Paso,On-Air,,9,Full-time to the  Colorado Connection System .,Linked into the Colorado Connection System,,CCARC,yes,Colorado Connection,123,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,127.8,WSW,yes,147.39,147.99,88.5,,,,,,,Summit,On-Air,,12,Full-time to the  Colorado Connection System .,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-.  This machine has a split tone, 88.5 rx and 123.0 tx",Breckenridge Repeater,CCARC,yes,Colorado Connection,123,Wide area.,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,137.3,W,yes,147.075,147.675,88.5,,,,,,,Grand,On-Air,,,Full-time to the  Colorado Connection System .,Part of the Colorado Connection system of Repeaters,,CCARC,yes,Colorado Connection,123,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70.  Map,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,88.5,KB0VJJ,"Walden, Peterson Ridge",CO,OPEN,,138.5,WNW,yes,145.16,144.56,88.5,,,,,,,Jackson,On-Air,,8,Full-time to the  Colorado Connection System .,Part of the Colorado Connection system of repeaters.,,CCARC,yes,Colorado Connection,123,"North Park, along with portions of I-80 from Laramie, Wyoming, to Rock Springs, Wyoming.","Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,143.3,WSW,yes,145.445,144.845,88.5,,,,,,,Lake,On-Air,,E-power (solar).,Full-time to the  Colorado Connection System .,"At 13,685;, it is one of the highest 2-meter repeaters in North America.",,CCARC,yes,Colorado Connection,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
