Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,DMR Enabled,Color Code,Wide Network,County,Op Status,Coverage,Sponsor,Affiliate,Links,Notes,Web links,Coordination,Last update,Local Network,Features,Downlink Tone,IRLP,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Mixed-Mode,Worldwide,North America,Local/Cluster,D-STAR Enabled,Node,Sources,EchoLink,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Grid,Commands,Nets,Feed,On-air,Worldwide English,DCI Bridge,N. Colorado,P25 Digital Enabled,NAC,Default Reflector,AllStar,YSF Digital Enabled,DG-ID,WIRES-X,English,TAC 310,Mountain Reg USA,Location Photo,Wyoming,WyLOCAL
446.8,-5,CC7,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,0,W,yes,446.8,441.8,,yes,7,,Boulder,On-Air,Wide area.,Rocky Mountain Ham Radio,Rocky Mountain Ham Radio,Full-time to the  Colorado TRBO System .,See website for complete information regarding timeslot/colorcode/talkgroup programming.,Rocky Mountain Ham Radio,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC1,N0SZ,"Boulder, Lee Hill",CO,OPEN,,5.9,NW,yes,445.05,440.05,,yes,1,BrandMeister,Boulder,On-Air,Wide area,Rocky Mountain Ham Radio,,,,,CCARC,yes,BrandMeister US,BrandMeister Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC7,N0SZ,"Boulder, Lee Hill",CO,OPEN,,5.9,NW,yes,446.9875,441.9875,,yes,7,,Boulder,On-Air,,Rocky Mountain Ham Radio,,"Full-time to  
        446.95000 (K7PFJ) at Colorado Springs, Almagre Mountain, CO .
 


Full-time to the  Colorado TRBO System .",,,,yes,,Linked on Time Slot 2 to  Almagre Mtn  (446.950).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,141.3,N0SZ,"Boulder, Lee Hill",CO,OPEN,I,5.9,NW,yes,447.75,442.75,141.3,,,,Boulder,On-Air,,Rocky Mountain Ham Radio,,,,,CCARC,yes,,,141.3,3450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,12.1,SW,yes,449.225,444.225,141.3,,,,Gilpin,On-Air,Wide area.,Rocky Mountain Ham Radio (RMHR),,,"Emcomm Affiliated, Open repeater",,CCARC,yes,,Emergency Power,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,19.7,S,yes,145.37,144.77,,yes,7,,Jefferson,On-Air,,Rocky Mountain Ham Radio,,,See the website for programming information.,Rocky Mountain Ham Radio,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,26,SSW,yes,446.9375,441.9375,,yes,7,,Clear Creek,On-Air,,Rocky Mountain Ham Radio,,Full-time to the  Colorado TRBO System .,See the website for programming information.,Rocky Mountain Ham Radio,CCARC,yes,,,,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,26,SSW,yes,448.225,443.225,141.3,,,,Clear Creek,On-Air,,Rocky Mountain Ham Radio,,,,,CCARC,yes,,E-power(gen).,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,26.5,S,yes,145.175,144.575,D073,yes,1,,Clear Creek,Off-Air,,Rocky Mountain Ham Radio,,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,Rocky Mountain Ham Radio,CCARC,yes,,,D073,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC7,N0SZ,"Breckenridge, Baldy",CO,OPEN,,53.8,SW,yes,445.0875,440.0875,,yes,7,,Fremont,On-Air,,K2AD,Rocky Mountain Ham Radio,,,http://www.rmham.org/,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,59.9,S,yes,446.875,441.875,,yes,6,,Douglas,On-Air,,W0VG,RMHAM,Full-time to the  Colorado TRBO System .,,http://www.rmham.org,CCARC,yes,,,,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC7,N0SZ,Vail,CO,OPEN,,67.7,WSW,yes,445.075,440.075,,yes,7,,Eagle,On-Air,,K2AD,Rocky Mountain Ham Radio,,,http://www.rmham.org/,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC7,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,71,SW,yes,445.05,440.05,,yes,7,,Lake,On-Air,,K2AD,Rocky Mountain Ham Radio,,,http://www.rmham.org/,CCARC,yes,,,,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,,74.1,SSW,yes,446.7625,441.7625,,yes,0,,Park,On-Air,,K7PFJ,RMHAM,,,,,yes,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,90.4,SSE,yes,445.0625,440.0625,,yes,1,,El Paso,Off-Air,,Rocky Mountain Ham Radio,,,,,CCARC,yes,,The DMR-MARC Worldwide Network,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,109.4,SSW,yes,446.8125,441.8125,,yes,0,,Chaffee,On-Air,,RMHAM,,,,,,yes,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.2625,-5,CC7,N0SZ,"Rangely, Cathedral Bluffs",CO,OPEN,,187,W,yes,445.2625,440.2625,,yes,7,,Rio Blanco,On-Air,,RMHAM,,,,https://www.rmham.org,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,227.7,SW,yes,445.1375,440.1375,,yes,7,,La Plata,On-Air,,K2AD,Rocky Mountain Ham Radio,,Talkgroup 700 TS 1 Talkgroup 719 TS 2,http://www.rmham.org/,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.5,-20,,W0DK,Boulder,CO,OPEN,,0,W,yes,1299.5,1279.5,,,,,Boulder,On-Air,,Boulder County ARES,,,,,CCARC,yes,,E-power.,,,,,,,,,,,,,yes,W0DK (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,W0DK,Boulder,CO,OPEN,I,2.5,S,yes,146.61,146.01,100,,,,Boulder,Off-Air,,Boulder Amateur Radio Club,,,,,CCARC,yes,,,,7007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,W0DK,"Boulder, Table Mountain",CO,OPEN,,2.6,S,yes,146.7,146.1,100,,,,Boulder,On-Air,"Wyoming border in the north, to Monument Hill (near Colorado Springs) in the south. Coverage is primarily to the east of the Rockies Front Range, as the repeater signal is blocked to the west by mountain peaks with altitudes of over 14,000 feet.",Boulder Co ARC,,,,BARC Repeaters,CCARC,yes,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.9,-5,100,W0DK,"Boulder, Table Mesa",CO,OPEN,,2.6,S,yes,448.9,443.9,100,,,,Boulder,On-Air,"Wyoming border in the north, to Monument Hill in the south, near Colorado Springs. Its coverage is primarily to the east of the Front Range of the Rockies as the repeater signal is blocked to the west by the even higher Rocky Mountain peaks with altitudes of over 14,000 feet.",Boulder ARC,,,,,CCARC,yes,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8625,-5,,KC0DS,Boulder,CO,OPEN,,0,W,yes,446.8625,441.8625,,,,,Boulder,On-Air,,Boulder County ARES,,,,,CCARC,yes,,,,,,,,,,,,,,,yes,KC0DS (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.8625,-20,,KC0DS,Boulder,CO,OPEN,,2.6,NE,yes,1283.8625,1263.8625,,,,,Boulder,On-Air,20,Boulder County ARES,,,,,CCARC,yes,,E-power.,,,,,,,,,,,,,yes,KC0DS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,
145.3875,-0.6,,KC0DS,Boulder,CO,OPEN,,2.6,NE,yes,145.3875,144.7875,,,,,Boulder,On-Air,20,Boulder County ARES,,,,http://bouldercountyares.org/technical/d-star,CCARC,yes,,E-power.,,,,,,,,,,,,,yes,KC0DS (C),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,
449.55,-5,100,W0IA,Boulder,CO,OPEN,E,0,ESE,yes,449.55,444.55,100,,,,Boulder,On-Air,Denver metro area.,Rocky Mtn VHF Soc,,"Full-time to  
        224.02000 (W0IA) at Boulder, Lee Hill, CO .",,,CCARC,yes,,8,,,,,,,,,,,,,,,,217336,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,W0IA,"Boulder, Lee Hill",CO,OPEN,E,5.9,NW,yes,224.02,222.42,,,,,Boulder,On-Air,Denver metro area.,Rocky Mtn VHF Soc,,"Full-time to  
        449.55000 (W0IA) at Boulder, CO .",,RMVHS repeaters,CCARC,yes,,8,,,,,,,,,,,,,,,,217336,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,W0IA,"Boulder, Gunbarrel Hill",CO,OPEN,,6.6,E,yes,146.76,146.16,100,,,,Boulder,On-Air,Wide area.,Rocky Mtn VHF Soc,Boulder County ARES,,"ARES primary repeater. 
 Voting Receivers:  
 
   
    RX Location    Tone    Pitch    PL  
   
   Gunbarrel  single beep  low  100.0 
   
   Lousville  single beep  low  100.0 
   
   Lyons  double beep  high followed by medium  100.0 
   
   Louisville #2  double beep  high followed by low  100.0",,CCARC,yes,,5,,,,,,,,,,,,,,,,,Tone,single beep,single beep,double beep,double beep,,,,,,,,,,,,,,,,,,,,,
449.4,-5,91.5,K0DK,Boulder,CO,OPEN,,0,ESE,yes,449.4,444.4,91.5,,,,Boulder,Off-Air,,BARC,,,,http://www.ked-wireless.com/products1.htm,CCARC,yes,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,91.5,K0DK,Boulder,CO,OPEN,E,3.3,NNE,yes,146.73,146.13,91.5,,,,Boulder,Off-Air,Local,BARC,,,,http://www.ked-wireless.com/products1.htm,CCARC,yes,,12,91.5,,,,,,,,,,,,,,,115482,,,,,,DN70jb,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,EI,5.9,NW,yes,145.46,144.86,107.2,,,,Boulder,On-Air,Boulder/Denver Metro,Colorado Repeater Association (CRA),CRA VHF Link System,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,CCARC,yes,,"Closed autopatch, e-power.",107.2,3990,,,,,,,,,,,,,,347086,,,,,,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,
447.975,-5,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,,5.9,NW,yes,447.975,442.975,107.2,,,,Boulder,On-Air,Wide area: Boulder/Longmont area.,Colorado Repeater Association (CRA),,,,,CCARC,yes,,Closed autopatch.,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,26,SSW,yes,145.145,144.545,107.2,,,,Clear Creek,On-Air,Wide area. Denver metro.,Colorado Repeater Assoc,,,,http://www.w0cra.org/info/squaw.html#145145,CCARC,yes,,E-power.,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,26,SSW,yes,447.575,442.575,107.2,,,,Clear Creek,On-Air,Wide area: Denver metro.,Colorado Repeater Association (CRA),,,,http://www.w0cra.org,CCARC,yes,,,107.2,3291,,,,,,,,,,,,,,347088,,,,,,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,34.2,S,yes,1287.9,1267.9,CSQ,,,,Jefferson,Off-Air,Fort Collins to Colorado Springs.,Colorado Repeater Association (CRA),,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,34.2,S,yes,224.98,223.38,107.2,,,,Jefferson,Off-Air,Wide area. Denver.,Colorado Repeater Association,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,CCARC,yes,,"Closed autopatch, e-power.",107.2,3990,,,,,,,,,,,,,,347086,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,34.2,S,yes,447.15,442.15,107.2,,,,Jefferson,Off-Air,Wide area: Denver.,Colorado Repeater Association (CRA),,,,,CCARC,yes,,"Closed autopatch, e-power.",107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,34.6,S,yes,53.05,51.35,107.2,,,,Jefferson,Off-Air,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",Colorado Repeater Association (CRA),,,,,CCARC,yes,,10,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,59.4,SSE,yes,147.225,147.825,107.2,,,,Douglas,On-Air,Wide area,Colorado Repeater Association (CRA),CRA VHF Link System,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",,Colorado Repeater Association,CCARC,yes,,Closed autopatch,107.2,3990,,,,,,,,,,,,,,347086,,,,,,,,"CRA Net, Sunday 9AM",,,,,,,,,,,,,,,,,,
